Sample,TranAlignPct
Aip02,77.03
Aip05,74.25
Aip06,72.55
Aip12,74.40
Aip13,72.86
Aip14,75.36
Aip15,75.39
Aip17,77.81
Aip18,75.95
Aip19,73.89
Aip20,67.77
Aip21,75.50
Aip23,79.18
Aip24,77.88
Aip25,76.94
Aip26,74.93
Aip28,68.69
Aip29,76.52
Aip30,72.19
Aip32,76.18
Aip33,73.81
Aip34,71.98
Aip35,72.37
Aip36,79.39
Unk,88.13
